"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VEZKXFND","book","1969","Cherryholmes, Cleo H.; Shapiro, Michael J.","Representatives and roll calls : a computer simulation of voting in the Eighty-eighth Congress","","","","","https://archive.org/details/representativesr0000unse/page/n5/mode/2up","","1969","2025-04-16 07:07:04","2025-10-24 04:54:16","","","","","","","","","","","","","Bobbs-Merrill","","","","","","","","","","","/Users/falk/Zotero/storage/A58SRFQ8/Cherryholmes and Shapiro - 1969 - Representatives and roll calls  a computer simulation of voting in the Eighty-eighth Congress.pdf","","Discipline: Political Science; Computer: CDC 3400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8CHVHU5","book","1965","de Sola Pool, Ithiel; Abelson, Robert P.; Popkin, Samuel L.","Candidates, Issues, and Strategies: A Computer Simulation of the 1960 and 1964 Presidential Election, revised edition","","","","","https://archive.org/details/candidatesissues00deso/page/n5/mode/2up","","1965","2025-04-16 07:11:17","2025-04-16 07:14:14","","","","","","","","","","","","","MIT Press","","","","","","","","","","","/Users/falk/Zotero/storage/HRFT6NZX/de Sola Pool et al. - 1965 - Candidates, Issues, and Strategies A Computer Simulation of the 1960 and 1964 Presidential Election.pdf","","Discipline: Political Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5AGC8JT","journalArticle","1965","Loehlin, John C.","""Interpersonal"" experiments with a computer model of personality.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/h0022457","https://doi.apa.org/doi/10.1037/h0022457","","1965","2025-04-23 02:44:29","2025-04-23 04:57:41","2025-04-23 02:44:29","580-584","","4","2","","Journal of Personality and Social Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/V3DSXL2Z/Loehlin - 1965 - Interpersonal experiments with a computer model .pdf","","Computer model rather than computer; Discipline: Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2VPE5W9","journalArticle","1963","Adams, Jack A.; Webber, Carl E.","Monte Carlo Model of Tracking Behavior","Human Factors: The Journal of the Human Factors and Ergonomics Society","","0018-7208, 1547-8181","10.1177/001872086300500108","https://journals.sagepub.com/doi/10.1177/001872086300500108","A Monte Carlo model was devised for simulation of human tracking behavior with a digital computer. The model had four basic equations and included provision for one- and two-dimensional tracking, repetitive and irregular input signals, and practice trials. Four groups of 12 human subjects each were given 40 practice trials on either one- or two-dimensional tracking, and either repetitive or irregular input signals. The model was then used to simulate corresponding data for four groups of 12 hypothetical subjects each, and comparisons of the real and hypothetical subject samples were made for various measures of proficiency. Overall, the adequacy of the simulation was judged as good. Research tactics are discussed for arriving at a generalized model of n-dimensional tracking behavior, and for elaborated models that will include procedural and decision acts to simulate more complex man-machine systems.","1963-02","2025-04-23 02:45:05","2025-04-23 05:12:29","2025-04-23 02:45:05","81-102","","1","5","","Hum Factors","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/6PMIATKB/Adams and Webber - 1963 - Monte Carlo Model of Tracking Behavior.pdf","","Computer model rather than computer; Computer: Illiac; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GVV5XXLR","conferencePaper","1963","Feigenbaum, Edward A.","Computer simulation of human behavior","","","","","https://stacks.stanford.edu/file/nm596dg4324/nm596dg4324.pdf","","1963-08","2025-04-23 05:17:16","2025-07-24 00:00:28","","","","","","","","","","","","","","Milwaukee, Wisconsin","","","","","","","","","","/Users/falk/Zotero/storage/4QKJCYXM/Feigenbaum - 1963 - Computer simulation of human behavior.pdf","","Discipline: Behavioural science; Program: EPAM; Programming Language: IPL-V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Midwest Human Fctors Society Symposium","","","","","","","","","","","","","","",""
"PDWDE6UH","journalArticle","1963","Hare, A. Paul","Computer Simulation of Interaction in Small Groups","Behavioral Science","","","","https://www.proquest.com/docview/1301270112/D46EDC9DD01B4166PQ/12?accountid=12372&sourcetype=Scholarly%20Journals&imgSeq=2","","1963","2025-04-23 05:43:59","2025-04-23 06:04:12","","261-265","","3","6","","","","","","","","","","","","","","","","","","","/Users/falk/Zotero/storage/UZ32UBWX/Hare - 1963 - Computer Simulation of Interaction in Small Groups.pdf","","PDF: Image rather than text; Computer: IBM 650; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7GQWE7Z","journalArticle","1960","Hovland, Carl I.","Computer simulation of thinking.","American Psychologist","","1935-990X, 0003-066X","10.1037/h0044165","https://doi.apa.org/doi/10.1037/h0044165","","1960-11","2025-04-23 06:14:51","2025-10-16 09:31:01","2025-04-23 06:14:51","687-693","","11","15","","American Psychologist","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/L5FVV2SE/Hovland - 1960 - Computer simulation of thinking..pdf","","Discipline: Psychology; Computer: Illiac; Computer: Univac; Computer: Johniac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZUGMTW4","journalArticle","1959","Conway, R. W.; Johnson, B. M.; Maxwell, W. L.","Some Problems of Digital Systems Simulation","Management Science","","0025-1909, 1526-5501","10.1287/mnsc.6.1.92","https://pubsonline.informs.org/doi/10.1287/mnsc.6.1.92","Our objective is to discuss the technique of digital system simulation. This procedure has already achieved a considerable stature in industrial and research organizations and promises to attain even greater importance in the future. Yet, with few exceptions (5)               1               , the published literature in the area consists of introductory expositions (10) or of descriptions of the solution of a particular problem (7) where the technique itself is correctly relegated to secondary position. The only publication devoted entirely to the topic (12) is a compendium of papers of the latter type with little attempt to summarize or generalize. Simulations are, of course, as varied as the systems which they represent but they do have certain common characteristics and problems. An identification of these problems would at least allow the investigator to anticipate them and plan accordingly.                          This paper consists of three sections. The first is an attempt to describe characteristics common to many system simulations; the second is a discussion of some problems involved in the construction of a digital simulator; and the third concerns problems that arise in the use of such a simulator.","1959-10","2025-04-23 06:44:05","2025-10-16 05:43:28","2025-04-23 06:44:05","92-110","","1","6","","Management Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/JRICFT5H/Conway et al. - 1959 - Some Problems of Digital Systems Simulation.pdf","","Computer: IBM 650; Discipline: Management Science; Discipline: Simulation???","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFWWT84I","journalArticle","1965","de Sola Pool, Ithiel; Kessler, Allan","The Kaiser, The Tsar, and The Computer: Information Processing in a Crisis","American Behavioral Scientist","","0002-7642, 1552-3381","10.1177/000276426500800909","https://journals.sagepub.com/doi/10.1177/000276426500800909","Crisiscom is a computer simulation of national decision makers processing information during a crisis. The project has several purposes:             1. It is designed to increase our understanding of the process of deterrence by exploring how far the behavior of political decision makers in crisis can be explained by psychological mechanisms. This is done by comparing the output of the highly simplified computer model based on principles of individual psychology with records of actual political behavior.             2. It is designed to put together a good deal of what we know about the psychology of deterrence into a rigorous and formal system and thus to serve as an integrating device for that body of knowledge.             3. It is designed to be used in human games of the type represented by Bloomfield's DETEX games to provide inputs for teams that cannot be staffed with humans and to represent aspects of the environment that are not played out by the human players.             4. It is designed perhaps ultimately to provide a way of simulating a variety of possible crises. It will be some time before we have enough confidence in the model to use it in such a semi-predictive fashion, but that cannot be ruled out.","1965-05","2025-04-23 10:37:06","2025-10-22 23:39:04","2025-04-23 10:37:06","31-38","","9","8","","American Behavioral Scientist","The Kaiser, The Tsar, and The Computer","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/YD6YNTJ9/De Sola Pool and Kessler - 1965 - The Kaiser, The Tsar, and The Computer Informatio.pdf","","Discipline: Behavioural science; Discipline: Political Science; Program: Crisiscom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFGIB4FX","journalArticle","1960","Hovland, Carl I.; Hunt, Earl B.","Computer Simulation of Concept Attainment","Behavioral Science","","","","https://www.proquest.com/docview/1301265944?pq-origsite=gscholar&fromopenview=true&sourcetype=Scholarly%20Journals&imgSeq=1","","1960","2025-04-23 10:56:39","2025-10-16 09:33:47","","265-267","","3","5","","","","","","","","","","","","","","","","","","","/Users/falk/Zotero/storage/RTXED7M7/Hovland and Hunt - 1960 - Computer Simulation of Concept Attainment.pdf","","Computer: Johniac; Discipline: Behavioural science; Programming Language: IPL-V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XQAFUWKF","journalArticle","1961","Chapanis, Alphonse","Men, machines, and models.","American Psychologist","","1935-990X, 0003-066X","10.1037/h0040759","https://doi.apa.org/doi/10.1037/h0040759","","1961-03","2025-04-23 22:28:48","2025-04-23 22:29:28","2025-04-23 22:28:48","113-131","","3","16","","American Psychologist","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/V84DN7EM/Chapanis - 1961 - Men, machines, and models..pdf","","Computer model rather than computer; Discipline: Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJSG9Z2J","journalArticle","1961","Coleman, James S.","Analysis of Social Structures and Simulation of Social Processes With Electronic Computers","Educational and Psychological Measurement","","0013-1644, 1552-3888","10.1177/001316446102100121","https://journals.sagepub.com/doi/10.1177/001316446102100121","","1961-04","2025-04-30 00:36:12","2025-04-30 00:53:21","2025-04-30 00:36:12","203-218","","1","21","","Educational and Psychological Measurement","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/8X9PDWYA/Coleman - 1961 - Analysis of Social Structures and Simulation of So.pdf","","Discipline: Sociology; Computer: Univac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4YNSXMU","journalArticle","1960","Coleman, James S.; MacRae, Duncan","Electronic Processing of Sociometric Data for Groups up to 1,000 in Size","American Sociological Review","","00031224","10.2307/2090146","http://www.jstor.org/stable/2090146?origin=crossref","","1960-10","2025-04-30 00:55:12","2025-04-30 01:45:35","2025-04-30 00:55:12","722","","5","25","","American Sociological Review","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/MU5TKQ29/Coleman and MacRae - 1960 - Electronic Processing of Sociometric Data for Grou.pdf","","Discipline: Sociology; Computer: Univac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZJQBHLD","journalArticle","1959","Cyert, R. M.; Feigenbaum, E. A.; March, J. G.","Models in a behavioral theory of the firm","Behavioral Science","","00057940, 10991743","10.1002/bs.3830040202","https://onlinelibrary.wiley.com/doi/10.1002/bs.3830040202","","1959","2025-04-30 00:57:54","2025-04-30 01:44:01","2025-04-30 00:57:54","81-95","","2","4","","Syst. Res.","","","","","","","","en","http://doi.wiley.com/10.1002/tdm_license_1.1","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/798MRA5M/Cyert et al. - 2007 - Models in a behavioral theory of the firm.pdf","","Computer: IBM 650; Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GABCWI6S","journalArticle","1969","Hanneman, Gerhard J.; Carroll, Tom W.; Rogers, Everett M.; Stanfield, J. David; Nan Lin","Computer Simulation of Innovation Diffusion in a Peasant Village","American Behavioral Scientist","","0002-7642, 1552-3381","10.1177/000276426901200607","https://journals.sagepub.com/doi/10.1177/000276426901200607","","1969-07","2025-04-30 02:05:17","2025-04-30 02:06:12","2025-04-30 02:05:17","36-46","","6","12","","American Behavioral Scientist","","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/HEW2CXAZ/Hanneman et al. - 1969 - Computer Simulation of Innovation Diffusion in a P.pdf","","Computer model rather than computer; Program: SINDI (Simulation of Innovation Diffusion); Discipline: Behavioural science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QDXDNDZ6","journalArticle","1963","Baker, Frank B.","Chapter X: Use of Computers in Educational Research","Review of Educational Research","","0034-6543, 1935-1046","10.3102/00346543033005566","https://journals.sagepub.com/doi/10.3102/00346543033005566","","1963-12","2025-04-30 02:06:33","2025-10-16 10:01:58","2025-04-30 02:06:33","566-578","","5","33","","Review of Educational Research","Chapter X","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/DGIBV6BI/Baker - 1963 - Chapter X Use of Computers in Educational Researc.pdf","","Discipline: Education; Multiple Computers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F9GW4PP4","journalArticle","1960","Martin, E. Wayne; Hall, Dale J.","Chapter VIII: Data Processing: Automation in Calculation","Review of Educational Research","","0034-6543, 1935-1046","10.3102/00346543030005522","https://journals.sagepub.com/doi/10.3102/00346543030005522","","1960-12","2025-04-30 02:18:56","2025-10-16 09:36:46","2025-04-30 02:18:56","522-535","","5","30","","Review of Educational Research","Chapter VIII","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/3444XCRU/Martin and Hall - 1960 - Chapter VIII Data Processing Automation in Calcu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9PUIZV5","journalArticle","1957","Wrigley, Charles","Chapter IX: Data Processing: Automation in Calculation","Review of Educational Research","","0034-6543, 1935-1046","10.3102/00346543027005528","https://journals.sagepub.com/doi/10.3102/00346543027005528","","1957-12","2025-04-30 04:44:09","2025-10-15 23:55:13","2025-04-30 04:44:09","528-543","","5","27","","Review of Educational Research","Chapter IX","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/RLWVGNRT/Wrigley - 1957 - Chapter IX Data Processing Automation in Calcula.pdf","","Computer: Alwac; Computer: CRC; Computer: CRC 102-A; Computer: Datatron; Computer: Edsac; Computer: Elecom; Computer: Ferranti; Computer: IAS; Computer: IBM 604; Computer: IBM 607; Computer: IBM 650; Computer: IBM 701; Computer: IBM 704; Computer: IBM 705; Computer: Illiac; Computer: Johniac; Computer: Mistic; Computer: Pennstac; Computer: Silliac; Computer: SWAC; Computer: Udec; Computer: Univac 1101; Computer: Univac 1103A; Computer: Whirlwind; Discipline: Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6K7LGMW","journalArticle","1958","Richens, R. H.","Interlingual Machine Translation","The Computer Journal","","0010-4620, 1460-2067","10.1093/comjnl/1.3.144","https://academic.oup.com/comjnl/article-lookup/doi/10.1093/comjnl/1.3.144","","1958-03-01","2025-04-30 05:22:18","2025-04-30 05:34:52","2025-04-30 05:22:18","144-147","","3","1","","The Computer Journal","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/falk/Zotero/storage/GGUI23JP/Richens - 1958 - Interlingual Machine Translation.pdf","","Discipline: Machine Translation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
